Indice,Nombre,FormatoVideo,CodCadenaTv,CasId,PuntoReproduccion
1,LA 1,HD,TVE,4521,http://tvela1-dash-movistarplus.emisiondof6.com/manifest.mpd
2,LA 2,HD,LA2,4522,http://la2-dash-movistarplus.emisiondof6.com/manifest.mpd
3,Antena 3,HD,A3,4523,http://antena3-dash-movistarplus.emisiondof6.com/manifest.mpd
4,Cuatro,HD,C4,4524,http://cuatro-dash-movistarplus.emisiondof6.com/manifest.mpd
5,Telecinco,HD,T5,4525,http://tele5-dash-movistarplus.emisiondof6.com/manifest.mpd
6,La Sexta,HD,SEXTA,4526,http://lasexta-dash-movistarplus.emisiondof6.com/manifest.mpd
7,Movistar Plus+,HD,MPLUS,5240,http://mplus-dash-movistarplus.emisiondof6.com/manifest.mpd
8,M+ Vamos,HD,VAMOSD,4767,http://vamos-dash-movistarplus.emisiondof6.com/manifest.mpd
9,Canal Sur,HD,CANSUR,4980,http://tdtcsur-dash-movistarplus.emisiondof6.com/manifest.mpd
10,TV3,SD,TV3CAT,4982,http://tdttv3-dash-movistarplus.emisiondof6.com/manifest.mpd
11,TVG -TV Galicia,HD,TVGAL,4983,http://tdt1galicia-dash-movistarplus.emisiondof6.com/manifest.mpd
12,Telemadrid,HD,TELMAD,4981,http://tdttelemadrid-dash-movistarplus.emisiondof6.com/manifest.mpd
13,ETB 1,HD,ETB1,5074,http://tdt1etb-dash-movistarplus.emisiondof6.com/manifest.mpd
14,Navarra TV,HD,NAVA,5210,http://tdtnavarra-dash-movistarplus.emisiondof6.com/manifest.mpd
15,IB3,HD,IB3,5091,http://tdt3ibiza-dash-movistarplus.emisiondof6.com/manifest.mpd
16,Aragón TV,HD,ARAGTV,5090,http://tdttvaragon-dash-movistarplus.emisiondof6.com/manifest.mpd
17,TV Canaria,HD,CANAR,5089,http://tdttvcanarias-dash-movistarplus.emisiondof6.com/manifest.mpd
18,Castilla la Mancha TV,HD,CASMAN,5265,http://tdtcastmancha-dash-movistarplus.emisiondof6.com/manifest.mpd
19,La 7,HD,CYLTV,5266,http://tdtcastleon-dash-movistarplus.emisiondof6.com/manifest.mpd
20,À Punt,HD,APUNT,5088,http://tdtapuntvalencia-dash-movistarplus.emisiondof6.com/manifest.mpd
21,M+ Cine,HD,MV1,4501,http://1mcine-dash-movistarplus.emisiondof6.com/manifest.mpd
22,M+ Series,HD,MV2,4527,http://m1series-dash-movistarplus.emisiondof6.com/manifest.mpd
23,M+ Originales,HD,MORIG,5259,http://moriginales-dash-movistarplus.emisiondof6.com/manifest.mpd
24,M+ Vacaciones,HD,MVCIVA,4955,http://1popup-dash-movistarplus.emisiondof6.com/manifest.mpd
25,M+ Documentales,HD,MDOC,5245,http://mdocumentales-dash-movistarplus.emisiondof6.com/manifest.mpd
26,M+ Comedia romántica,SD,MROMAN,5252,http://02popup-dash-movistarplus.emisiondof6.com/manifest.mpd
27,La Resistencia,HD,RESIST,5032,http://resistencia-dash-movistarplus.emisiondof6.com/manifest.mpd
28,M+ Clásicos,HD,MCLAS,4999,http://mclasicos-dash-movistarplus.emisiondof6.com/manifest.mpd
29,M+ Acción,HD,CPACCI,4542,http://accion-dash-movistarplus.emisiondof6.com/manifest.mpd
30,M+ Comedia,HD,CPCOME,4573,http://comedia-dash-movistarplus.emisiondof6.com/manifest.mpd
31,M+ Drama,HD,CPCOLE,4576,http://drama-dash-movistarplus.emisiondof6.com/manifest.mpd
32,M+ Indie,HD,MINDI,5249,http://mindie-dash-movistarplus.emisiondof6.com/manifest.mpd
33,M+ Cine Español,HD,DCESP,4502,http://espanol-dash-movistarplus.emisiondof6.com/manifest.mpd
34,SkyShowtime 1,HD,SKYSHO,5271,http://01sky-dash-movistarplus.emisiondof6.com/manifest.mpd
35,TCM,HD,TCM,4603,http://tcm-dash-movistarplus.emisiondof6.com/manifest.mpd
36,Hollywood,HD,HOLLYW,4780,http://hollywood-dash-movistarplus.emisiondof6.com/manifest.mpd
